time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.326,-0.006306837,-0.002057994,-0.002407267,-0.02189305,-0.03560594,-0.03862825,0.2807651,0.8227738,-0.5156902,357.9079,354.2825,359.7273,-0.00707284,-0.01086839,0.007299344,0.1312173,-0.001078159,0.07041884,0.01607595,0.1093203,-0.4490591,12.77104,358.5245,176.9537,0.01633433,0.03152574,0.02749395,-0.1911852,-0.1379319,-0.1866268,0.5571313,0.08187014,-0.4550988,8.16783,28.52331,171.8642
12.945,-0.006201102,-0.0008909957,-0.003309888,-0.007567,-0.03619025,-0.0441954,0.2806708,0.822772,-0.5157395,357.9009,354.2978,359.7696,-0.009765374,-0.01423733,-0.001470566,0.1364291,-0.01921649,0.0558427,0.01594257,0.1091938,-0.4491596,12.88272,358.5004,176.9119,0.01957461,0.04032939,0.02746886,-0.2159563,-0.2047747,-0.3139789,0.557501,0.08234126,-0.454812,8.004367,28.25106,172.3253
26.695,-0.005984805,0.0004915447,-0.003784991,0.00686232,-0.03078901,-0.04034486,0.280585,0.822798,-0.5157866,357.8762,354.3082,359.7989,-0.01229286,-0.01614244,-0.008494113,0.1201706,-0.05228402,0.01952627,0.01583056,0.1090223,-0.4493103,12.97401,358.4331,176.9065,0.01978574,0.03794311,0.02629301,-0.1994784,-0.1945962,-0.2721368,0.5577554,0.08251267,-0.4545022,7.898611,28.09938,172.4685
40.422,-0.005178689,0.00237029,-0.003998306,0.02422653,-0.02210164,-0.03502651,0.2805291,0.8228865,-0.5158468,357.8331,354.3145,359.8224,-0.01261484,-0.017336,-0.01395012,0.1094697,-0.06038942,-0.01935489,0.01575859,0.1089304,-0.4495535,13.06334,358.3755,176.9381,0.01859969,0.03026608,0.02255664,-0.1526498,-0.1399755,-0.1685555,0.5578828,0.08282954,-0.4544169,7.854993,28.06724,172.4254
54.139,-0.004615076,0.004000156,-0.003627109,0.03612759,-0.02156446,-0.0247968,0.2804778,0.8230052,-0.5158965,357.7832,354.3383,359.8315,-0.01193027,-0.01426444,-0.01363961,0.03711651,-0.05254612,-0.03124208,0.01564327,0.1087443,-0.449518,13.02295,358.3489,176.9592,0.01946311,0.02656823,0.017668,-0.1325141,-0.0582939,-0.0801526,0.558265,0.08283827,-0.4541251,7.789688,28.15237,172.3272
68.12,-0.003710245,0.005188104,-0.00321767,0.04524755,-0.02291154,-0.01174368,0.2804503,0.8231188,-0.5159343,357.7398,354.3565,359.8293,-0.01008717,-0.01032123,-0.0110295,-0.02360252,-0.03571357,-0.03682175,0.0156126,0.1086787,-0.4496658,12.98132,358.3324,176.9867,0.0209921,0.02622387,0.01452466,-0.1222345,0.02236144,-0.02272665,0.558329,0.08293597,-0.4540589,7.731723,28.27315,172.2535
81.799,-0.00249298,0.005217051,-0.00259799,0.04938565,-0.02540434,-0.0007945634,0.2804468,0.8231647,-0.515939,357.6938,354.3897,359.8227,-0.008131269,-0.00626898,-0.009473223,-0.04267263,-0.01928717,-0.04396632,0.01559049,0.1087167,-0.4498377,12.93942,358.3252,177.022,0.01833932,0.02229459,0.01108679,-0.06533904,0.07992332,0.08067468,0.5585036,0.08327088,-0.4537819,7.731997,28.39028,172.0685
95.969,-0.00158128,0.004900781,-0.001872192,0.04619197,-0.03071725,-0.001052328,0.2804468,0.8232001,-0.5159317,357.6716,354.4193,359.8428,-0.007690372,-0.001057979,-0.005821854,-0.1005662,0.0007927998,-0.01136687,0.01544855,0.1085863,-0.4500547,12.80675,358.3336,177.0174,0.02022747,0.01719166,0.009742262,-0.06570503,0.1856286,0.181886,0.5583485,0.08314253,-0.4538563,7.56848,28.70827,171.7165
110.06,-0.0010773,0.004387869,-0.001023474,0.04646884,-0.03580274,0.00272327,0.2804428,0.8232539,-0.5159279,357.6276,354.4577,359.8426,-0.006683826,-0.0001311037,-0.006409455,-0.09049071,-0.001725273,-0.01477074,0.01541414,0.1085861,-0.4501366,12.75413,358.334,177.0257,0.01982278,0.01052351,0.008433685,-0.04305734,0.2208647,0.2366868,0.5583323,0.08316137,-0.4537811,7.533197,28.90935,171.4386
123.582,-0.0007077163,0.003070883,-0.0005214331,0.03806242,-0.03545188,0.006358839,0.2804405,0.823276,-0.5159327,357.6162,354.4828,359.8336,-0.004352167,0.002064788,-0.00701686,-0.08142769,-0.02263446,-0.0490788,0.01533891,0.1085305,-0.4499092,12.69631,358.3051,177.0713,0.01814656,0.005645499,0.006500657,-0.03210866,0.2347682,0.2579538,0.558834,0.08294693,-0.4533095,7.494877,29.083,171.2007
137.681,-0.0006055259,0.00112757,-0.0003978139,0.02117503,-0.0308092,0.008907758,0.2804271,0.8232369,-0.5159308,357.6355,354.4966,359.8158,-0.0017218,0.005244178,-0.003129736,-0.1080319,-0.06666903,-0.1025952,0.01555233,0.1085999,-0.4503046,12.57829,358.2064,177.1852,0.0156184,0.005530713,0.002393467,0.01591952,0.2628026,0.2715642,0.5583791,0.08418429,-0.453552,7.533212,29.32882,170.9628
